customer_id,name,email,signup_date,country
CUST00000,Cassandra Estes,kaylavaughn@aguirre.com,2020-07-05,Paraguay
CUST00001,Brian Hamilton,steven30@miller-lewis.com,2022-11-14,Philippines
CUST00002,Emily Obrien,allisonkimberly@hotmail.com,2021-08-10,Tokelau
CUST00003,Janice Ray,glenntaylor@peterson.net,2024-07-24,Guernsey
CUST00004,Michael Smith,jdiaz@gmail.com,2024-02-03,Botswana
CUST00005,Kimberly Ball,slopez@yahoo.com,2020-11-17,Egypt
CUST00006,Megan Diaz,thomasjordan@davis-richmond.com,2020-09-14,Greenland
CUST00007,Matthew Rivera,dyermichael@gmail.com,2021-06-13,Sierra Leone
CUST00008,Ryan Cortez,hjones@hotmail.com,2021-06-16,South Africa
CUST00009,Eric Ortiz,marcus30@robinson-shea.com,2020-10-03,South Africa
CUST00010,Edward Martinez,amanda66@allison.com,2024-11-27,Fiji
CUST00011,Todd Byrd,susanallen@yahoo.com,2021-11-22,Turkey
CUST00012,Lisa Turner,gonzalezpatrick@dougherty.com,2023-01-20,Guinea
CUST00013,April Mitchell,bonniepadilla@johnson.info,2021-07-15,Heard Island and McDonald Islands
CUST00014,Kevin Pena,vbowers@williams.com,2020-07-04,Papua New Guinea
CUST00015,Jeremy Lewis,macdonaldrachel@lucas.org,2021-09-24,Tonga
CUST00016,Steven Flynn,anne61@yahoo.com,2020-09-21,Syrian Arab Republic
CUST00017,Bradley Robertson,alexandraandrews@wilson.com,2024-09-24,Fiji
CUST00018,Frances Cardenas,erinreyes@richardson.org,2024-09-27,Nicaragua
CUST00019,Megan Walker,erin49@gmail.com,2022-03-10,South Georgia and the South Sandwich Islands
CUST00020,Alexander Sanchez,rogerhill@gmail.com,2024-10-15,Syrian Arab Republic
CUST00021,Samuel Jones,jameswallace@henderson-flores.com,2020-10-25,Argentina
CUST00022,Mark Lee,laurie36@yahoo.com,2022-12-16,Reunion
CUST00023,Kathleen Sanchez,stevenjohnston@schultz.org,2023-04-24,Egypt
CUST00024,Abigail Potter,ericsuarez@hotmail.com,2024-07-14,Uzbekistan
CUST00025,Ashley Coleman,scott06@richardson.info,2020-05-16,Tunisia
CUST00026,Tyler Holmes,lisa75@jones-schwartz.com,2022-05-13,Cayman Islands
CUST00027,David Charles,wilcoxbryan@yahoo.com,2024-12-23,Papua New Guinea
CUST00028,Robert Contreras,munozbrandon@herrera-johnston.org,2023-03-12,Guernsey
CUST00029,Linda Dodson DVM,maria27@parks.info,2020-10-12,Venezuela
CUST00030,Michelle Wagner,jenkinsalexis@yahoo.com,2023-05-22,Madagascar
CUST00031,Kimberly Merritt,lholt@barnett.biz,2023-12-07,Solomon Islands
CUST00032,Karen Green,ghernandez@hotmail.com,2024-05-25,Isle of Man
CUST00033,Mark Cannon,pstewart@gmail.com,2020-09-04,Iran
