ticket_id,client_id,department,opened_date,resolved_date,sla_hours,priority,agent_id,resolution_hours,sla_met,opened_week,month_opened,ticket_age_days,priority_level,client_name,industry,location,agent_name,team,seniority_level
T0001,C048,Security,2024-11-11 04:33:31,2024-11-13 03:25:15.845927,48,Medium,A024,46.862457201944444,1,46,2024-11,172,2,Lewis-Cole,Technology,North Patrickville,Kaitlyn Patrick,Tier 3,Junior
T0002,C022,Security,2025-03-10 02:48:01,2025-03-12 07:25:35.783302,48,Medium,A003,52.626328695,0,11,2025-03,53,2,Ochoa and Sons,Technology,North John,Michael Lloyd,Tier 1,Junior
T0003,C001,IT Support,2024-12-06 15:05:10,2024-12-06 21:11:59.949618,72,Medium,A014,6.113874893888888,1,49,2024-12,147,2,"Reese, Brown and Carpenter",Education,North Chasefort,Courtney Thompson,Tier 2,Junior
T0004,C015,Networking,2025-02-18 18:30:09,2025-02-20 03:10:53.785603,48,Low,A013,32.67910711194445,1,8,2025-02,73,1,Watson LLC,Education,Josephhaven,Tyler Rivera,Tier 2,Senior
T0005,C049,Cloud Services,2025-01-21 21:41:52,2025-01-22 08:30:42.952956,72,Medium,A004,10.81415359888889,1,4,2025-01,101,2,Thomas Ltd,Finance,Cabreraport,Michelle Allen,Tier 3,Mid
T0006,C045,Security,2025-01-11 00:49:41,2025-01-15 19:07:43.683558,48,Medium,A004,114.30074543277779,0,2,2025-01,111,2,"Holmes, Pace and Gomez",Finance,West Carolynberg,Michelle Allen,Tier 3,Mid
T0007,C022,Cloud Services,2024-11-29 14:28:01,2024-12-05 07:50:58.509929,48,High,A013,137.38264164694445,0,48,2024-11,154,3,Ochoa and Sons,Technology,North John,Tyler Rivera,Tier 2,Senior
T0008,C028,Cloud Services,2024-11-09 20:44:02,2024-11-10 13:33:20.922173,24,Low,A020,16.821922825833333,1,45,2024-11,174,1,"Lee, Frye and Gonzalez",Finance,Butlermouth,Alexander Morton,Tier 2,Senior
T0009,C028,IT Support,2024-12-11 12:12:59,2024-12-15 23:17:43.556423,48,Medium,A001,107.07904345083334,0,50,2024-12,142,2,"Lee, Frye and Gonzalez",Finance,Butlermouth,Lisa Dennis,Tier 3,Mid
T0010,C013,IT Support,2025-04-19 08:52:02,2025-04-20 00:06:49.484992,48,Medium,A006,15.246523608888888,1,16,2025-04,13,2,Larsen-Strickland,Technology,Port Melissafort,Laura Ward,Tier 2,Junior
T0011,C037,IT Support,2025-03-20 15:58:30,2025-03-22 02:17:20.600332,48,Low,A012,34.31405564777778,1,12,2025-03,43,1,Bowen-Jones,Retail,East Alicia,Lindsay Cook,Tier 2,Junior
T0012,C032,Cloud Services,2025-03-14 23:03:38,2025-03-15 12:29:41.255586,24,Medium,A020,13.434237662777777,1,11,2025-03,49,2,"Navarro, Franklin and Mosley",Education,Victoriaview,Alexander Morton,Tier 2,Senior
T0013,C012,Networking,2025-04-30 12:43:06,2025-05-01 10:24:47.193420,72,Medium,A003,21.69477595,1,18,2025-04,2,2,Dominguez-Steele,Retail,Georgemouth,Michael Lloyd,Tier 1,Junior
T0014,C017,Security,2024-12-11 18:18:28,2024-12-12 11:29:18.383502,48,Medium,A002,17.180662083888887,1,50,2024-12,142,2,Pollard-Simmons,Education,South Codyfurt,Michelle Henderson,Tier 3,Senior
T0015,C032,IT Support,2025-02-17 21:45:33,2025-02-18 23:10:11.926929,24,Medium,A030,25.410813035833332,0,8,2025-02,74,2,"Navarro, Franklin and Mosley",Education,Victoriaview,Kathleen Sullivan,Tier 1,Junior
T0016,C032,Networking,2024-11-12 05:17:49,2024-11-12 12:48:37.532777,48,Low,A004,7.5134813269444445,1,46,2024-11,171,1,"Navarro, Franklin and Mosley",Education,Victoriaview,Michelle Allen,Tier 3,Mid
T0017,C017,Security,2025-04-21 00:54:15,2025-04-21 04:57:03.693346,48,High,A005,4.046859262777778,1,17,2025-04,11,3,Pollard-Simmons,Education,South Codyfurt,Kimberly Harvey,Tier 3,Junior
T0018,C011,Security,2025-01-28 21:07:51,2025-01-30 21:09:18.047607,48,Low,A001,48.02417989083333,0,5,2025-01,94,1,Smith Ltd,Education,Lake Sara,Lisa Dennis,Tier 3,Mid
T0019,C016,IT Support,2025-03-20 01:40:39,2025-03-20 09:31:08.205088,48,High,A028,7.841445857777777,1,12,2025-03,43,3,Watson-Norton,Finance,East Mark,Stefanie Palmer,Tier 2,Junior
T0020,C003,Security,2025-01-21 12:59:28,2025-01-23 19:19:11.979682,24,Low,A007,54.328883245,0,4,2025-01,101,1,Herrera Inc,Retail,Erikahaven,Veronica Vargas,Tier 1,Junior
T0021,C039,Networking,2024-12-24 00:28:22,2024-12-24 09:40:11.209655,48,High,A011,9.197002681944443,1,52,2024-12,130,3,"Cummings, Hopkins and Williams",Healthcare,Wallacebury,Eric Morris,Tier 2,Junior
T0022,C023,Security,2024-12-20 06:40:30,2024-12-21 02:41:50.484595,24,High,A003,20.022356831944446,1,51,2024-12,133,3,Reese and Sons,Education,East Tinaside,Michael Lloyd,Tier 1,Junior
T0023,C048,IT Support,2025-04-29 17:29:47,2025-04-30 05:57:05.739530,24,Medium,A017,12.455205424999999,1,18,2025-04,3,2,Lewis-Cole,Technology,North Patrickville,Brandi Fernandez,Tier 2,Senior
T0024,C012,IT Support,2025-02-11 10:06:11,2025-02-11 23:23:35.353451,24,High,A027,13.290098180833334,1,7,2025-02,80,3,Dominguez-Steele,Retail,Georgemouth,Timothy Smith,Tier 1,Mid
T0025,C019,Cloud Services,2025-01-14 18:22:56,2025-01-15 04:25:12.997215,48,High,A020,10.038054781944446,1,3,2025-01,108,3,Smith Ltd,Healthcare,Jamesville,Alexander Morton,Tier 2,Senior
T0026,C024,Cloud Services,2025-03-20 10:11:14,2025-03-24 18:52:53.707991,72,Low,A008,104.69436333083333,0,12,2025-03,43,1,"Davis, Craig and Griffith",Healthcare,Rodriguezside,Jacqueline Smith,Tier 2,Junior
T0027,C035,Cloud Services,2025-02-18 19:45:52,2025-02-21 21:37:19.866505,48,Low,A003,73.85774069583333,0,8,2025-02,73,1,"Hill, Kirby and Alvarado",Retail,Derekchester,Michael Lloyd,Tier 1,Junior
T0028,C046,Networking,2024-11-16 16:47:01,2024-11-23 23:21:02.157833,48,Medium,A003,174.56698828694442,0,46,2024-11,167,2,Summers Inc,Healthcare,Davidton,Michael Lloyd,Tier 1,Junior
T0029,C033,Cloud Services,2024-12-09 11:52:03,2024-12-11 14:31:43.288111,48,Low,A021,50.66119114194444,0,50,2024-12,144,1,Sullivan Group,Education,Port Dianastad,Dakota Smith,Tier 2,Senior
T0030,C008,Security,2025-02-27 19:27:17,2025-02-28 04:54:41.407640,48,Medium,A001,9.456779899999999,1,9,2025-02,64,2,"Taylor, Graham and Bradley",Retail,Williamsport,Lisa Dennis,Tier 3,Mid
T0031,C022,Security,2024-11-13 15:16:11,2024-11-15 04:48:32.062475,48,Low,A030,37.53918402083334,1,46,2024-11,170,1,Ochoa and Sons,Technology,North John,Kathleen Sullivan,Tier 1,Junior
T0032,C008,Security,2024-11-09 18:37:23,2024-11-17 00:00:50.065385,48,Medium,A021,173.39085149583332,0,45,2024-11,174,2,"Taylor, Graham and Bradley",Retail,Williamsport,Dakota Smith,Tier 2,Senior
T0033,C033,IT Support,2025-01-17 21:05:04,2025-01-19 06:36:33.624055,48,Low,A016,33.52489557083333,1,3,2025-01,105,1,Sullivan Group,Education,Port Dianastad,Erica Rich,Tier 3,Senior
T0034,C049,Cloud Services,2024-11-08 23:11:02,2024-11-09 15:00:12.969255,24,Low,A028,15.819713681944446,1,45,2024-11,175,1,Thomas Ltd,Finance,Cabreraport,Stefanie Palmer,Tier 2,Junior
T0035,C006,Security,2025-01-21 21:24:52,2025-01-23 03:53:00.875891,48,Medium,A005,30.469132191944446,1,4,2025-01,101,2,Ward Ltd,Finance,Dicksonburgh,Kimberly Harvey,Tier 3,Junior
T0036,C031,Security,2025-03-24 11:13:29,2025-03-29 17:43:47.453427,48,High,A020,126.50512595194444,0,13,2025-03,39,3,Serrano-Larsen,Retail,Tonyborough,Alexander Morton,Tier 2,Senior
T0037,C023,IT Support,2025-02-25 10:08:40,2025-02-26 02:53:08.504579,48,Medium,A018,16.741251271944446,1,9,2025-02,66,2,Reese and Sons,Education,East Tinaside,Amy Santiago,Tier 2,Senior
T0038,C003,Cloud Services,2025-04-28 00:08:05,2025-04-29 15:11:38.752228,72,Low,A018,39.059375618888886,1,18,2025-04,5,1,Herrera Inc,Retail,Erikahaven,Amy Santiago,Tier 2,Senior
T0039,C002,Security,2025-03-25 04:48:24,2025-03-27 02:37:26.907642,72,Medium,A002,45.817474345,1,13,2025-03,38,2,"Dunn, Gomez and Harmon",Technology,Fordhaven,Michelle Henderson,Tier 3,Senior
T0040,C009,Security,2025-04-25 01:02:23,2025-04-25 19:43:54.889666,72,Medium,A007,18.69219157388889,1,17,2025-04,7,2,Henry-Miller,Retail,Port Joshuashire,Veronica Vargas,Tier 1,Junior
T0041,C035,Networking,2025-02-20 03:34:55,2025-02-20 20:15:53.728162,72,High,A013,16.682980045,1,8,2025-02,71,3,"Hill, Kirby and Alvarado",Retail,Derekchester,Tyler Rivera,Tier 2,Senior
T0042,C036,IT Support,2025-01-31 15:57:52,2025-01-31 20:03:00.030418,24,Low,A008,4.085564005,1,5,2025-01,91,1,Medina-Taylor,Technology,New Joshuabury,Jacqueline Smith,Tier 2,Junior
T0043,C012,Security,2025-04-10 15:20:48,2025-04-13 01:27:11.152064,72,Medium,A028,58.106431128888886,1,15,2025-04,22,2,Dominguez-Steele,Retail,Georgemouth,Stefanie Palmer,Tier 2,Junior
T0044,C022,Security,2024-11-02 21:15:30,2024-11-04 14:46:07.713628,48,Medium,A030,41.510476007777775,1,44,2024-11,181,2,Ochoa and Sons,Technology,North John,Kathleen Sullivan,Tier 1,Junior
T0045,C022,IT Support,2025-03-14 20:07:26,2025-03-15 12:19:48.578102,48,Low,A006,16.206271694999998,1,11,2025-03,49,1,Ochoa and Sons,Technology,North John,Laura Ward,Tier 2,Junior
T0046,C037,IT Support,2025-03-25 02:57:35,2025-03-25 20:18:16.432074,48,High,A028,17.344842242777776,1,13,2025-03,38,3,Bowen-Jones,Retail,East Alicia,Stefanie Palmer,Tier 2,Junior
T0047,C004,Networking,2024-11-04 23:59:20,2024-11-05 11:39:30.790994,48,Low,A020,11.669664165,1,45,2024-11,179,1,"Wheeler, Beasley and Knight",Technology,North Louisborough,Alexander Morton,Tier 2,Senior
T0048,C040,Cloud Services,2025-02-11 03:13:09,2025-02-12 04:39:20.927050,48,Low,A018,25.43664640277778,1,7,2025-02,80,1,Graves-Garner,Finance,Nicoleberg,Amy Santiago,Tier 2,Senior
T0049,C017,Cloud Services,2025-02-21 18:32:17,2025-02-23 05:24:00.105402,48,Low,A028,34.861973722777776,1,8,2025-02,70,1,Pollard-Simmons,Education,South Codyfurt,Stefanie Palmer,Tier 2,Junior
T0050,C026,IT Support,2025-02-23 01:27:14,2025-02-25 18:51:56.236222,48,Low,A009,65.4117322838889,0,8,2025-02,68,1,Parker-Mitchell,Retail,South Charles,Rachel Fletcher,Tier 2,Senior
T0051,C001,Security,2024-12-18 02:51:32,2024-12-20 10:50:38.251514,24,Low,A030,55.985069865,0,51,2024-12,135,1,"Reese, Brown and Carpenter",Education,North Chasefort,Kathleen Sullivan,Tier 1,Junior
T0052,C045,IT Support,2024-12-04 23:28:46,2024-12-05 04:12:39.954623,24,Medium,A029,4.731654061944445,1,49,2024-12,149,2,"Holmes, Pace and Gomez",Finance,West Carolynberg,Sherry Phillips,Tier 1,Senior
T0053,C022,IT Support,2024-12-17 22:27:14,2024-12-20 14:43:36.207562,48,Medium,A012,64.27283543388889,0,51,2024-12,136,2,Ochoa and Sons,Technology,North John,Lindsay Cook,Tier 2,Junior
T0054,C022,IT Support,2025-02-15 07:10:37,2025-02-16 23:14:49.832957,24,Medium,A028,40.07023137694445,0,7,2025-02,76,2,Ochoa and Sons,Technology,North John,Stefanie Palmer,Tier 2,Junior
T0055,C046,Networking,2024-12-10 06:41:25,2024-12-10 08:57:02.908338,24,Medium,A012,2.260530093888889,1,50,2024-12,143,2,Summers Inc,Healthcare,Davidton,Lindsay Cook,Tier 2,Junior
T0056,C021,Security,2025-03-19 06:08:07,2025-03-19 06:57:58.178400,72,Medium,A030,0.8308828888888888,1,12,2025-03,44,2,Lopez and Sons,Finance,Stephensonbury,Kathleen Sullivan,Tier 1,Junior
T0057,C010,Networking,2025-01-22 21:59:36,2025-01-24 01:18:01.769890,48,Medium,A002,27.307158302777776,1,4,2025-01,100,2,Thompson Group,Technology,West Loganchester,Michelle Henderson,Tier 3,Senior
T0058,C019,Networking,2025-01-30 16:38:51,2025-01-31 07:09:30.759256,24,Medium,A024,14.511044237777778,1,5,2025-01,92,2,Smith Ltd,Healthcare,Jamesville,Kaitlyn Patrick,Tier 3,Junior
T0059,C024,Cloud Services,2024-11-29 06:59:54,2024-12-01 10:35:49.639230,24,Medium,A017,51.598788675,0,48,2024-11,154,2,"Davis, Craig and Griffith",Healthcare,Rodriguezside,Brandi Fernandez,Tier 2,Senior
T0060,C020,Cloud Services,2025-01-26 02:36:06,2025-01-30 03:30:32.440390,48,Medium,A003,96.90734455277777,0,4,2025-01,96,2,"Garza, Lewis and Wilson",Education,Rodriguezburgh,Michael Lloyd,Tier 1,Junior
T0061,C043,IT Support,2025-04-10 08:36:41,2025-04-12 10:05:27.932877,48,Medium,A001,49.479703576944445,0,15,2025-04,22,2,Clark PLC,Education,Jenniferfurt,Lisa Dennis,Tier 3,Mid
T0062,C044,IT Support,2024-12-24 01:15:45,2024-12-30 13:13:08.073667,72,Low,A014,155.95640935194444,0,52,2024-12,129,1,"Stevens, King and Wallace",Finance,Johnchester,Courtney Thompson,Tier 2,Junior
T0063,C035,Security,2024-12-10 05:01:07,2024-12-10 05:54:04.772621,24,Low,A008,0.8827146169444444,1,50,2024-12,143,1,"Hill, Kirby and Alvarado",Retail,Derekchester,Jacqueline Smith,Tier 2,Junior
T0064,C034,Security,2024-12-01 06:32:08,2024-12-02 05:54:03.261098,48,Low,A004,23.365350305,1,48,2024-12,152,1,Johnson-Baldwin,Healthcare,Yangborough,Michelle Allen,Tier 3,Mid
T0065,C011,IT Support,2025-03-18 03:14:32,2025-03-20 11:54:31.119027,48,Low,A025,56.66642195194445,0,12,2025-03,45,1,Smith Ltd,Education,Lake Sara,Heather Eaton,Tier 2,Mid
T0066,C010,IT Support,2025-02-22 23:35:20,2025-02-26 05:41:04.875276,48,Medium,A003,78.09579868777777,0,8,2025-02,69,2,Thompson Group,Technology,West Loganchester,Michael Lloyd,Tier 1,Junior
T0067,C018,IT Support,2024-11-28 06:16:52,2024-12-07 13:49:02.445017,48,Medium,A024,223.53623472694443,0,48,2024-11,155,2,"Turner, Cameron and Woodard",Technology,Port Crystalville,Kaitlyn Patrick,Tier 3,Junior
T0068,C012,IT Support,2024-12-01 09:46:46,2024-12-05 10:39:25.351003,48,Medium,A023,96.87759750083333,0,48,2024-12,152,2,Dominguez-Steele,Retail,Georgemouth,Zachary Adams,Tier 3,Senior
T0069,C017,IT Support,2025-02-11 12:58:09,2025-02-14 08:23:29.580128,24,Medium,A016,67.42238336888889,0,7,2025-02,80,2,Pollard-Simmons,Education,South Codyfurt,Erica Rich,Tier 3,Senior
T0070,C019,IT Support,2025-03-30 05:57:28,2025-03-31 05:39:14.250228,48,Low,A029,23.69618061888889,1,13,2025-03,33,1,Smith Ltd,Healthcare,Jamesville,Sherry Phillips,Tier 1,Senior
T0071,C007,Cloud Services,2025-03-27 09:26:05,2025-04-01 02:36:51.380914,24,High,A020,113.17955025388888,0,13,2025-03,36,3,Ortega-Guerrero,Retail,North Ricardo,Alexander Morton,Tier 2,Senior
T0072,C005,Security,2025-03-08 22:36:00,2025-03-10 15:29:45.131895,48,Medium,A020,40.89586997083333,1,10,2025-03,55,2,Molina and Sons,Technology,Clarkport,Alexander Morton,Tier 2,Senior
T0073,C023,Cloud Services,2024-12-05 11:12:47,2024-12-07 16:47:47.714613,72,Medium,A013,53.58353183694444,1,49,2024-12,148,2,Reese and Sons,Education,East Tinaside,Tyler Rivera,Tier 2,Senior
T0074,C014,Security,2025-04-23 07:38:04,2025-04-28 15:55:13.055341,72,Low,A003,128.28584870583333,0,17,2025-04,9,1,Mendez Group,Finance,Shannonbury,Michael Lloyd,Tier 1,Junior
T0075,C018,Security,2025-02-06 17:53:05,2025-02-11 02:50:32.705178,48,Low,A010,104.95769588277777,0,6,2025-02,85,1,"Turner, Cameron and Woodard",Technology,Port Crystalville,Donna Osborne DVM,Tier 2,Junior
T0076,C038,Security,2024-12-23 20:43:41,2024-12-27 11:47:22.784012,72,Medium,A008,87.06160667,0,52,2024-12,130,2,Johnson-Daniels,Technology,North Christopher,Jacqueline Smith,Tier 2,Junior
T0077,C002,IT Support,2024-11-26 18:17:52,2024-11-26 21:55:26.364269,72,Medium,A006,3.6262122969444444,1,48,2024-11,157,2,"Dunn, Gomez and Harmon",Technology,Fordhaven,Laura Ward,Tier 2,Junior
T0078,C001,Networking,2025-01-03 13:51:32,2025-01-12 05:00:03.239524,48,High,A007,207.1420109788889,0,1,2025-01,119,3,"Reese, Brown and Carpenter",Education,North Chasefort,Veronica Vargas,Tier 1,Junior
T0079,C006,Cloud Services,2025-01-19 13:17:30,2025-01-28 02:11:34.136763,72,Low,A029,204.90114910083335,0,3,2025-01,103,1,Ward Ltd,Finance,Dicksonburgh,Sherry Phillips,Tier 1,Senior
T0080,C010,Networking,2025-03-25 01:09:42,2025-03-25 23:57:06.616586,72,Medium,A030,22.79017127388889,1,13,2025-03,38,2,Thompson Group,Technology,West Loganchester,Kathleen Sullivan,Tier 1,Junior
T0081,C028,Networking,2025-04-17 12:51:34,2025-04-18 21:25:39.682900,24,Low,A028,32.56824525,0,16,2025-04,15,1,"Lee, Frye and Gonzalez",Finance,Butlermouth,Stefanie Palmer,Tier 2,Junior
T0082,C039,IT Support,2024-11-23 12:42:32,2024-11-26 10:40:17.236977,72,Medium,A028,69.96256582694444,1,47,2024-11,160,2,"Cummings, Hopkins and Williams",Healthcare,Wallacebury,Stefanie Palmer,Tier 2,Junior
T0083,C049,IT Support,2025-04-22 23:33:54,2025-04-29 12:45:05.652133,48,High,A006,157.18657003694443,0,17,2025-04,10,3,Thomas Ltd,Finance,Cabreraport,Laura Ward,Tier 2,Junior
T0084,C045,Cloud Services,2025-01-29 12:13:02,2025-01-30 15:44:07.661281,72,Medium,A015,27.51823924472222,1,5,2025-01,93,2,"Holmes, Pace and Gomez",Finance,West Carolynberg,David Perkins,Tier 1,Junior
T0085,C011,Cloud Services,2025-04-21 02:38:19,2025-04-25 13:05:21.228400,48,Low,A003,106.450619,0,17,2025-04,11,1,Smith Ltd,Education,Lake Sara,Michael Lloyd,Tier 1,Junior
T0086,C047,IT Support,2025-02-12 23:41:20,2025-02-15 08:45:03.319163,24,Low,A015,57.06203310083333,0,7,2025-02,79,1,Morrison-Reyes,Finance,South Brenda,David Perkins,Tier 1,Junior
T0087,C003,Cloud Services,2025-01-27 08:36:33,2025-01-28 13:42:11.876179,48,Medium,A011,29.094132271944446,1,5,2025-01,95,2,Herrera Inc,Retail,Erikahaven,Eric Morris,Tier 2,Junior
T0088,C008,Networking,2024-11-18 07:22:02,2024-11-18 23:11:58.823034,72,Medium,A028,15.832450842777778,1,47,2024-11,165,2,"Taylor, Graham and Bradley",Retail,Williamsport,Stefanie Palmer,Tier 2,Junior
T0089,C036,Networking,2024-12-30 22:21:56,2024-12-31 17:59:44.514350,24,Medium,A028,19.630142875,1,1,2024-12,123,2,Medina-Taylor,Technology,New Joshuabury,Stefanie Palmer,Tier 2,Junior
T0090,C041,Cloud Services,2024-11-28 09:45:01,2024-11-30 03:48:35.912396,24,High,A022,42.05969788777778,0,48,2024-11,155,3,Brown-Hudson,Education,Karenmouth,Michael Nunez,Tier 2,Junior
